sample_id,reference_type,reference_path,reference_norm_len,mixed_len_ratio,separated_len_ratio,cleaned_len_ratio,mixed_cer_real,separated_cer_real,cleaned_cer_real,quality_notes
audio_depth_stress_v1_0001,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_01_silver_reference.json,32,0.46875,0.46875,0.46875,0.71875,0.71875,0.71875,weak_silver_reference;mixed_high_cer;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0002,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_02_silver_reference.json,26,0.576923,0.576923,0.576923,0.769231,0.769231,0.769231,weak_silver_reference;mixed_high_cer;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0003,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_03_silver_reference.json,20,1.1,1.4,1.4,0.75,1.3,1.3,weak_silver_reference;mixed_high_cer;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0004,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_04_silver_reference.json,18,0.666667,0.666667,0.666667,0.777778,0.777778,0.777778,weak_silver_reference;mixed_high_cer;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0005,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_05_silver_reference.json,25,0.36,0.36,0.36,0.8,0.8,0.8,weak_silver_reference;mixed_high_cer;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0006,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_06_silver_reference.json,21,0.333333,0.333333,0.333333,0.904762,0.904762,0.904762,weak_silver_reference;mixed_high_cer;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0007,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_07_silver_reference.json,18,1.0,1.222222,1.222222,0.5,0.666667,0.666667,weak_silver_reference;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0008,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_08_silver_reference.json,20,1.2,1.5,1.5,0.85,0.9,0.9,weak_silver_reference;mixed_high_cer;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0009,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_09_silver_reference.json,14,0.428571,1.214286,1.214286,1.0,0.714286,0.714286,weak_silver_reference;mixed_high_cer;separated_high_cer;cleaned_high_cer
audio_depth_stress_v1_0010,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_10_silver_reference.json,31,0.387097,0.774194,0.774194,0.709677,0.354839,0.354839,weak_silver_reference;mixed_high_cer
