model_name,epoch,train_loss,dev_loss,dev_accuracy,status
hybrid_mlp_v2,1,1.088614,1.073776,0.590909,trained
hybrid_mlp_v2,2,1.063961,1.046626,0.590909,trained
hybrid_mlp_v2,3,1.041324,1.020178,0.636364,trained
hybrid_mlp_v2,4,1.016913,0.994535,0.636364,trained
hybrid_mlp_v2,5,1.004015,0.969472,0.636364,trained
hybrid_mlp_v2,6,0.973081,0.945045,0.590909,trained
hybrid_mlp_v2,7,0.950992,0.920986,0.590909,trained
hybrid_mlp_v2,8,0.927336,0.897147,0.5,trained
hybrid_mlp_v2,9,0.906177,0.874118,0.5,trained
hybrid_mlp_v2,10,0.890071,0.851602,0.5,trained
hybrid_mlp_v2,11,0.863832,0.829504,0.5,trained
hybrid_late_fusion_v2,1,1.118889,1.053133,0.363636,trained
hybrid_late_fusion_v2,2,1.077093,1.015898,0.363636,trained
hybrid_late_fusion_v2,3,1.033082,0.980686,0.5,trained
hybrid_late_fusion_v2,4,1.000128,0.946658,0.5,trained
hybrid_late_fusion_v2,5,0.96712,0.913984,0.5,trained
hybrid_late_fusion_v2,6,0.936337,0.882211,0.454545,trained
hybrid_late_fusion_v2,7,0.899791,0.851906,0.454545,trained
hybrid_late_fusion_v2,8,0.874259,0.822542,0.454545,trained
hybrid_late_fusion_v2,9,0.853772,0.794104,0.5,trained
hybrid_late_fusion_v2,10,0.814552,0.766758,0.5,trained
hybrid_late_fusion_v2,11,0.797236,0.740246,0.5,trained
calibrated_confidence_router,1,1.088614,1.073776,0.590909,trained
calibrated_confidence_router,2,1.063961,1.046626,0.590909,trained
calibrated_confidence_router,3,1.041324,1.020178,0.636364,trained
calibrated_confidence_router,4,1.016913,0.994535,0.636364,trained
calibrated_confidence_router,5,1.004015,0.969472,0.636364,trained
calibrated_confidence_router,6,0.973081,0.945045,0.590909,trained
calibrated_confidence_router,7,0.950992,0.920986,0.590909,trained
calibrated_confidence_router,8,0.927336,0.897147,0.5,trained
calibrated_confidence_router,9,0.906177,0.874118,0.5,trained
calibrated_confidence_router,10,0.890071,0.851602,0.5,trained
calibrated_confidence_router,11,0.863832,0.829504,0.5,trained
cost_aware_router,1,1.088614,1.073776,0.590909,trained
cost_aware_router,2,1.063961,1.046626,0.590909,trained
cost_aware_router,3,1.041324,1.020178,0.636364,trained
cost_aware_router,4,1.016913,0.994535,0.636364,trained
cost_aware_router,5,1.004015,0.969472,0.636364,trained
cost_aware_router,6,0.973081,0.945045,0.590909,trained
cost_aware_router,7,0.950992,0.920986,0.590909,trained
cost_aware_router,8,0.927336,0.897147,0.5,trained
cost_aware_router,9,0.906177,0.874118,0.5,trained
cost_aware_router,10,0.890071,0.851602,0.5,trained
cost_aware_router,11,0.863832,0.829504,0.5,trained
