sample_id,sample_runtime_sec,model_size
controlled_route_sensitive_v1_0001,2.3646,base
controlled_route_sensitive_v1_0002,1.3004,base
controlled_route_sensitive_v1_0003,2.026,base
controlled_route_sensitive_v1_0004,1.673,base
controlled_route_sensitive_v1_0005,1.5343,base
controlled_route_sensitive_v1_0006,3.4772,base
controlled_route_sensitive_v1_0007,1.7023,base
controlled_route_sensitive_v1_0008,1.5953,base
controlled_route_sensitive_v1_0009,2.5308,base
controlled_route_sensitive_v1_0010,1.561,base
controlled_route_sensitive_v1_0011,1.7974,base
controlled_route_sensitive_v1_0012,1.3524,base
controlled_route_sensitive_v1_0013,1.4435,base
controlled_route_sensitive_v1_0014,1.3745,base
controlled_route_sensitive_v1_0015,1.5504,base
controlled_route_sensitive_v1_0016,1.3613,base
controlled_route_sensitive_v1_0017,2.5068,base
controlled_route_sensitive_v1_0018,1.7355,base
controlled_route_sensitive_v1_0019,1.8229,base
controlled_route_sensitive_v1_0020,2.3058,base
controlled_route_sensitive_v1_0021,1.5458,base
controlled_route_sensitive_v1_0022,1.8281,base
controlled_route_sensitive_v1_0023,1.5805,base
controlled_route_sensitive_v1_0024,1.4492,base
controlled_route_sensitive_v1_0025,1.4491,base
controlled_route_sensitive_v1_0026,1.3601,base
controlled_route_sensitive_v1_0027,1.4156,base
controlled_route_sensitive_v1_0028,2.1697,base
controlled_route_sensitive_v1_0029,1.6766,base
controlled_route_sensitive_v1_0030,1.5414,base
controlled_route_sensitive_v1_0031,2.2782,base
controlled_route_sensitive_v1_0032,2.1401,base
controlled_route_sensitive_v1_0033,2.0716,base
controlled_route_sensitive_v1_0034,1.8196,base
controlled_route_sensitive_v1_0035,1.5933,base
controlled_route_sensitive_v1_0036,1.6826,base
controlled_route_sensitive_v1_0037,1.9723,base
controlled_route_sensitive_v1_0038,1.4711,base
controlled_route_sensitive_v1_0039,4.0182,base
controlled_route_sensitive_v1_0040,1.5028,base
__total__,73.5815,base
