sample_id,selected_route,oracle_route,selected_cer,mixed_cer,separated_cer,cleaned_cer,route_gap,min_route_cer,intended_family,reference_type,predicted_gate_label,confidence,risk_score,guard_reason,stage2_text_probe_called,direct_bypass,review_candidate,selected_mixed_high_error,risk_source,should_have_reviewed,weak_silver_reference
controlled_route_sensitive_v2_0004,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,review_needed_anchor,silver_plus_unverified,ambiguous_needs_text_probe,1.0,0.428225,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0008,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,review_needed_anchor,silver_plus_unverified,ambiguous_needs_text_probe,0.999945,0.41043,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0020,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,review_needed_anchor,silver_plus_unverified,ambiguous_needs_text_probe,0.999082,0.439312,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0024,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,review_needed_anchor,silver_plus_unverified,ambiguous_needs_text_probe,1.0,0.415571,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0036,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,review_needed_anchor,silver_plus_unverified,ambiguous_needs_text_probe,0.999832,0.408291,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0039,mixed,mixed,0.7,0.7,0.75,0.75,0.05,0.7,cleaned_win_anchor,silver_plus_unverified,easy_mixed,0.7897,0.38688,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0040,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,review_needed_anchor,silver_plus_unverified,ambiguous_needs_text_probe,0.987953,0.431124,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0049,mixed,mixed,0.722222,0.722222,1.0,1.0,0.277778,0.722222,mixed_win_anchor,silver_plus_unverified,easy_mixed,0.938675,0.31658,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0050,mixed,separated,0.941176,0.941176,0.705882,0.705882,0.0,0.705882,separated_win_anchor,silver_plus_unverified,likely_separation_helpful,0.999711,0.438828,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0052,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,review_needed_anchor,silver_plus_unverified,ambiguous_needs_text_probe,1.0,0.429587,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0053,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,mixed_win_anchor,silver_plus_unverified,ambiguous_needs_text_probe,0.967019,0.284494,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
controlled_route_sensitive_v2_0056,mixed,mixed,1.0,1.0,1.0,1.0,0.0,1.0,review_needed_anchor,silver_plus_unverified,ambiguous_needs_text_probe,0.999967,0.427302,review_candidate_stage2_fallback,True,False,True,True,stage2_after_review_candidate,True,True
